ID,Year,Month,Authors,ImpModel,Title,Journal,ReviewOrResearch,ModelClass,ModelBase,ModelBackbone,ModelNeck,ModelHead,ModelInputSize,Dataset,SpacialResMin,SpacialResMax,SpectralRes,ImageSize,ImageProcessing,Hardware,Strengths,Weaknesses,Code,Small
79,2025,9,Magalhaes et al,CompYOLOv8s/YOLOv10n,Vessel detection leveraging satellite imagery and YOLO in maritime surveillance,RSASE,research,anchor free,YOLOv8s/YOLOv10n,NA,NA,NA,640x640,Sentinel-2/CEiiA/GEOSAT-2,Sentinel-2:10,Sentinel-2:10,GEOSAT-2: RGB,Sentinel-2:1000×1000,Normalization; Random horizontal flip; Rotations (±180°); Translations (10%); Scaling (0.8–1.2),Intel Xeon E5-2650 v4 + RTX A4500 20GB Intel Xeon E5-2680 v3 + Quadro M5000 8GB,"YOLOv8 demonstrated superior performance in vessel and wake detection on medium-resolution Sentinel-2 imagery, with fine-tuning and dataset expansion leading to significant improvements. The Vessel class consistently outperformed the Wake class, probably due to clearer boundaries and a higher number of instances.Final YOLOv8m (pretrained on small dataset and retrained on extended dataset) achieved: F1 = 88.69%, Precision = 90.47%, Recall = 86.98%, IoU = 72.91%, mAP50 = 87.53%, mAP50-95 = 61.20%",Wake detection significantly worse; class imbalance; rectangular boxes not ideal for wakes; model sensitive to confidence threshold; YOLOv10 underperformed with default threshold,available on request,TRUE
80,2025,9,Hui et al,YOLOv8LFVM,A Lightweight UAV Based Model for Real Time Fishing Vessel Tracking and Dimension Measurement,MSE,research,anchor free,YOLOv8,MobileNetV3 (NAS-optimized lightweight backbone),Improved YOLOv8-OBB neck with AKConv and C2fRepGhost modules for feature fusion,YOLOv8-OBB oriented bounding box detection head,640×640x3,UAV,"Not explicitly stated (DJI Mavic 3T RGB camera, UAV altitude 100 m)",Same (consumer UAV RGB imagery),RGB imagery (DJI Mavic 3T),"Original UAV images cropped/processed, training image size 640×640",Brightness/Contrast/Saturation adjustment; Cutout; Rainline simulation; Fog effect; Non-geometric augmentation to preserve OBB,Intel Core i5-13450HX NVIDIA RTX 4050 GPU Windows 11 CUDA 12.2,"Precision 99.2%, Recall 99.7%, mAP@0.5 = 99.2%, mAP@0.95 = 97.2%; 65% fewer parameters and 69% fewer GFLOPs than baseline. Categorizes fishing vessels into three classes: below 12 m, 12 to 24 m, and above 24 m. Can identify and measure fishing vessels of different scales (8.9m lenght). Wraps fishing vessels.",Not tested in harsh open-water environments; not implemented with remote sensing images; angle labeling sensitive; width measurement less accurate; one outlier due to manual annotation error,not provided,TRUE
81,2025,8,Ou et al,DHLNet,A Dynamic Hierarchical Lightweight Network for Enhanced Ship Detection in RS Images,IEEE JSTAEORS,research,anchor free,YOLOv8,YOLOv8 backbone enhanced with DHB (Dynamic Hybrid Block),FHAFB (Faster High-Order Attention Fusion Block) neck,LQEBH (Lightweight Quality Estimation BN Head),NA,(custom)/DOTAShip/HRSC2016/VisDrone2019/NWPUVHR-10,NA,NA,NA,NA,Mosaic augmentation; Copy-Paste strategies for object transplantation; Random Affine transformations that introduce geometric variations; MixUp which linearly blends different image-label pairs,NVIDIA L20 GPU,"Has advantages in multiscale target detection, complex scene processing, and small target recognition. mAP50_Custom = 91.4%; mAP50_DOTA_Ship = 62.3%; mAP50_HRSC2016 = 96.5%; mAP50_VisDrone = 43.7%; Small-target detection, low GFLOPs (20.3), 136 FPS","Further optimization of computational efficiency is still needed, especially for deployment on edge computing devices. In addition, future research may apply DHLNet tomore complex remote sensing tasks and higher resolution datasets to enhance the model’s robustness and generalization capabilities",not provided,TRUE
82,2025,5,Zhang et al,YOLOv8SD,An Improved Lightweight Ship Detection Model Based on YOLOv8,SPIE EIEDP,research,anchor free,YOLOv8n,C2f-Faster-EMA backbone (FasterNet block + EMA attention replacing Darknet bottleneck),"C2f-Faster (lightweight neck replacing standard C2f), SPPF-LSKA (LSKA attention added to SPPF)","TDADH (Task-Decomposition Aligned Detection Head, single shared head replacing 3 YOLOv8 heads)",NA,WHU-RSONE-OBB(custom),NA,NA,NA,NA,NA,NA,Lighweight. Precision = 90.8%; Recall = 89.7%; mAP50 = 94.8%; mAP50_95 = 74.3%; GFLOPs = Reduced from 8.7 to 7.0; Parameters = Reduced to ~1.98M,"Weakened classification performance on multi-class datasets; Model improvements specialized for WHU-RSONE-OBB (generalization limitations; Increased architectural complexity despite lightweight claim; Future work will focus on data augmentation and other efforts for the dataset, enabling the model to adapt to multiscenarios, multi-classes, and to perform real-time target detection tasks under complex conditions.",not provided,FALSE
83,2025,1,Yildirim Kavzoglu,CompYOLOv8n/s/m/l/x,Deep CNNs for ship detection using refined DOTA and TGRS HRRSD high resolution image datasets,ASR,research,anchor free,YOLOv8,Standard YOLOv8 CSP-based,YOLOv8 PAN-FPN neck,YOLOv8 decoupled detection head,640×640,DOTAShip/TGRSHRRSD,DOTA:0.1;HRRSD:0.15,DOTA:4.5;HRRSD:1.2,RGB,DOTA:800x800-4000x4000;HRRSD:NA,YOLOv8 built-in augmentations (Mosaic/MixUp/HSV/Flips/Scaling),Intel i7 10870H CPU with NVIDIA GeForce RTX 3060 GPU for training/Google Colab Pro NVIDIA A100 GPU for validation,"YOLOv8 provided the best results according to the COCO metrics and detected ships with an AP value of 96.33 % for the 0.50 IoU threshold, followed by CenterNet with a large margin (88.80 %). On the other hand, Faster R-CNN showed a slight difference from CenterNet with 85.30 % AP@0.50. DOTA refined dataset: YOLOv8x achieved mAP50 = 90.1%; HRRSD dataset: YOLOv8x achieved mAP50 = 95.6%; Better precision and recall than YOLOv5 and EfficientDet baselines; Strong performance on rotated ships and cluttered harbors. YOLOv8 was trained shorter than the others on the Google Colab environment, which resulted in the fastest converging model. Therefore, it was evident that the YOLOv8 model provided the best trade-off between speed and accuracy for the ship detection task in this study",NA,open source,TRUE
84,2025,1,Maddelabhargavi Girija,CompYOLOv8/YOLOv9,Efficient Ship Detection,Grenze,research,anchor free,YOLOv8/YOLOv9,"YOLOv8: CSP-based backbone; YOLOv9: C2f-based backbone with SPT module (as described conceptually, not modified by authors)",Standard YOLOv8 PAN-FPN; YOLOv9 standard PAN with Spatio-Temporal Transformer (SPT),Standard YOLO heads (unaltered),NA,KaggleShipsVesselsAerialImages,NA,NA,NA,NA,NA,NA,"YOLOv9 > YOLOv8 by small margin: mAP@50 (0.439 vs 0.432), mAP@50-95 (0.246 vs 0.243)",No methodological details; unclear training protocol; lacking scientific rigor; precision slightly lower for YOLOv9; not a reproducible study,not provided,FALSE
85,2025,1,Bakirci,CompYOLOv5/v7/v8/v9,Advanced ship detection and ocean monitoring with satellite imagery and DL,RSMS,research,anchor free,YOLOv9,GELAN (Generalized Efficient Layer Aggregation Network),PAN-FPN style structure (YOLOv9 integrated PAN/FPN variant),YOLOv9 decoupled detection head with PGI support,480×480,(custom),0.3,15,NA,NA,Adjustments to brightness and contrast to simulate different lighting conditions; Horizontal flipping; Modifications to color temperature and saturation to reflect environmental variations; Application of color filters to mimic diverse atmospheric effects; Sharpness enhancements to emphasize edge details; Scaling variations to account for differences in object size and perspective; Addition of a haze effect to simulate foggy or hazy weather conditions,Google Colab with NVIDIA Tesla T4 or P100 GPU,"Variety of data augmentation techniques. Effective algorithm in this evaluation, demonstrating exceptional capabilities in accurately detecting ships while maintaining rapid inference times. mAP = 0.959; Precision = 0.947; Recall = 0.872; F1 = 0.908; Inference time = 6.28 ms (fastest among YOLOv5/7/8/9); Superior small-ship detection (<250 px², best R², MSE, MAE)",NA,open source,TRUE
86,2024,12,Kapoor Sinha,CompYOLOv8/YOLOv7/DETR,Object Detection in Maritime Surveillance A Data Centric Comparison of YOLO and Transformer Based Models,IEEE CICT,research,anchor free,YOLOv8,ResNet/Darknet-like,YOLOv8 FPN/PAN,YOLOv8 decoupled detection head,NA,RoboflowShip,NA,NA,NA,NA,Horizontal flip; Random Gaussian blur with random sigma and kernel size; Hue/saturation/brightness adjustment; Grayscale conversion; Rotation; Scaling; Normalization,Intel i5 10th Gen CPU 30 GB RAM NVIDIA GeForce MX330 GPU,"Tested under varying conditions such as scale, lighting, and environmental complexity;YOLOv8 outperforms YOLOv7 and DETR in both accuracy and computational efficiency. YOLOv8’s robustness in managing complex satellite imagery, making it the most suitable model for high-precision object detection in this domain; superior robustness in satellite image variability.",No evaluation on small vessels or low-resolution maritime scenarios,open source,FALSE
87,2024,12,Fang et al,RSA,A Multiscale Ship Detection Algorithm Based on Optical RS Image,JMSE,research,anchor free,YOLOv7,YOLOv7 backbone with Shuffle Attention (SA),4-layer Multi-Scale Feature Pyramid (FPN-like) with bottom-up Shuffle Attention,Rotated detection head with sine–cosine angle prediction,NA,HRSC2016/DOTA,NA,NA,NA,NA,NA,AMD Ryzen 75800 H with Radeon Graphics CPU Lenovo) 16 GB DDR4 3200 MHz RAM NVIDIA GeForce RTX 3060 Laptop GPU 6 GB Windows 11 CUDA 11.6 and CUDNN 8.6.0,"Small Ship Attention Mechanism introduced to specifically address small-scale ship targets, augmenting the salient features across various scales and enhancing the precision of small target ship detection in low-contrast and small-sized conditions.mAP=0.917 (HRSC2016), mAP=0.830 (DOTA); +6.4% vs R2CNN, +5.3% vs RRPN, +3.0% vs YOLOv7","Image dataset trained relatively insufficient; Classification of ships can become more detailed; this paper did not classify the ship dataset, so the subsequent research can be subdivided into ship image types; Need to improve the detection speed and model robustness. Due to the improvement of accuracy, the detection time will increase accordingly. Still room to adapt to different application scenarios, such as large-scale ship monitoring in the target sea area",available on request,TRUE
88,2024,11,Ji et al,MBSDet,A Novel Method for Marine Object Detection in Aerial Imagery with Complex Background Suppression,Electronics,research,anchor free,RTMDet,CSPNeXt,Feature fusion with MFE dynamic upsampling,Rotated detection,NA,HRSC2016/DOTAv1.0,NA,NA,NA,HRSC2016:300x300-1500x900;DOTAv1.0:800x800-4000x4000,NA,NVIDIA GeForce RTX 3090 GPU,"DOTAv1.0 mAP=88.89 AP50=89.20; highest accuracy among compared methods. Build intended to improve the multi-scale receptive field of features, which strengthens multi-scale target features while lowering extended background characteristics in complicated scenarios. The MFE module is specifically designed to achieve a more comprehensive feature representation by effectively extracting foreground features using feature pyramids. Extensive experimental results indicate the efficiency of MBSDet on publicly available datasets, for example, HRSC2016 and DOTA v1.0. Our MBSDet outperforms other leading models in terms of detection performance.",Higher computational cost; increased parameters; speed reduction from Transformer attention; not specific trained for ship detection,not provided,TRUE
89,2024,3,Ezzedini et al,CompYOLOv8;FasterRCNN,Analysis of the performance of Faster R CNN and YOLOv8 in detecting fishing vessels,PeerJ,research,anchor free,YOLOv8/FasterRCNN,YOLOv8 standard backbone (CSP-based),YOLOv8 PAN-FPN neck,YOLOv8 decoupled detection head,NA,Tunisian maritime surveillance dataset (fish + vessels),NA,NA,NA,NA,NA,NA,"Developed for fishing ship detection. Superiority of the YOLOv8 model in both detection domains. The Faster R-CNN model struggles to find a balance between precision and recall, with scores of 68% and 58% respectively for fish and 76% and 71% respectively for fishing boats, while YOLOv8 shows a excellent accuracy, with scores of 76% for fish and 76% for vessels, and 87% are fishing boats. The mAP50 values of 71% for
fish and 94% for fishing boats in YOLOv8 are also better than those in Faster R-CNN.","YOLOv8 presentes difficulty detecting small or densely packed fish; limited localization precision. Faster R-CNN encountered challenges in detecting small or densely packed fish; requires significant training time, which can be a drawback in dynamic environments. Small dataset whithouth data augmentation. Could explore data augmentation techniques as well as hyperparameter optimization can also help improve the performance of these models",https://github.com/lotfiezdini/Ship-detection-YOLOv8,FALSE
90,2024,1,Li et al,NA,Enhanced Fishing Monitoring Using DL with Nightly RS,Remote Sensing,research,anchor free,YOLOv8,CSPDarknet-based YOLOv8 backbone,YOLOv8 PAN-FPN,YOLOv8 decoupled detection head,640x640,VIIRSBoatDetection/AIS,NA,NA,NA,NA,NA,Intel(R) Xeon(R) E5-2686 v4 @ 2.30 GHz 60GB NVIDIA RTX A 4000,"Methodod for monitoring and extracting industry lit fishing vessels in specific fishing grounds, particularly under cloudy conditions","While fishing locations can be roughly identified, the exact number of vessels cannot be determined. While the threshold method
could identify similar trend changes, it lacked precision in detecting individual targets, especially in blurry scenarios. Detection significantly affected by weather conditions",not provided,FALSE
91,2023,5,Liang et al,MidNet,An Anchor and Angle Free Detector for Oriented Ship Detection in Aerial Images,IEEE TGRS,research,anchor free,Keypoint,ResNet-101,NA,NA,NA,HRSC2016/FGSD2021,NA,NA,NA,HRSC2016:300x300-1500x900;FGSD2021:157–7789X224–6506X,H/V flips,2× NVIDIA RTX 3090 GPU,"MidNet achieves a competitive result of 76.66% mAP on the DOTA dataset, which is 0.95% lower than the state-of-the-art detector (R3Det). For the approximately symmetric objects, MidNet achieves excellent results. For ship and soccer field objects, MidNet obtains the highest AP, and for plane and small-vehicle, MidNet yields the second best with a weak disadvantage.","Performance decreases on highly asymmetric objects (e.g., swimming pools, harbors). Not specific designed for marine environments.",https://github.com/jiefeng0109/MidNet,TRUE
92,2023,4,Zhou et al,AEDet,Arbitrary Oriented Ellipse Detector for Ship Detection in RS images,IEEE JSTAEORS,research,anchor free,YOLOX-m,CSPDarknet-53 (YOLOX-m backbone),PAFPN,"Ellipse-parameter prediction head (center, |u|, |v|, m, α)",NA,HRSC2016/RSDDSAR/RHRSID,NA,NA,RGB;SAR,NA,NA,2x NVIDIA TITAN Xp GPU,"mAP=90.45% on HRSC2016; 90.10% on RSDD-SAR; 88.2% on RHRSID. Can distinguish the ship objects from the complicated background
well. In the simple offshore regions, AEDet has great detection performance unsurprisingly. In addition, it is worth noting that the objects in the RSDD-SAR dataset is relatively small compared to HRSC2016 dataset, which means that our ellipse parameters representation method can describe objects of different scales efficiently. Proposed to solve the problem of abnormal bounding box regression loss of object with multiple numerical representations caused by angle periodicity, we propose an ellipse parameters representation method to describe arbitrary oriented objects, which has only one numerical representation for an object and can predict object by avoiding to predict angels directly. Then we propose the AEDet by applying the proposed ellipse parameters representation method to YOLOX with medium parameters",NA,not provided,TRUE
93,2023,1,Zhuang et al,CMDet,Contour Modeling Arbitrary Oriented Ship Detection From Very High Resolution Optical RS Imagery,IEEE GRSL,research,anchor free,FCOS,ResNet-18;ResNet-50,Feature Pyramid Network (FPN),"different detection heads, such as angle-based, vertex-based, vector-based, and our contour-based methods were evaluated on HRSC2016",640x640/800x800,HRSC2016/DIORShip,NA,NA,NA,NA,NA,3× NVIDIA TITAN RTX GPU,"AP = 90.2% on HRSC2016 with ResNet-18. AP = 89.86% on DOTA-ship with ResNet-50; CMDet outperforms SOTA detectors on both the HRSC2016 (90.2% AP) and DIOR-Ship datasets. Utilizing a lightweight ResNet-18 backbone with low computational cost ($2.77 	imes 10^{10}$ FLOPs), it delivers superior, stable, and real-time detection of arbitrary-oriented ships with minimal resource demand",NA,not provided,FALSE
94,2022,6,Yan et al,ALSD,An Antijamming and Lightweight Ship Detector Designed for Spaceborne Optical Images,IEEE JSTAEORS,research,anchor free,NA,Lightweight backbone based on SkyNet with 7-stage depthwise + pointwise convolutions,Feature Refining Module (FRM) + Antijamming Module (AM),NA,800×800,CBSD(custom)/HRSC2016(evaluation),CBSD:0.72,CBSD:0.72,NA,800×800,NA,NA,"Model customized closer to the real application scenarios includes various types of ship objects, large proportion of small ships and complex scenes. Novel ship detector with high-inference speed and can deal with various complex backgrounds and recognizes objects accurately. Lightweight and efficient, which has a few computations and parameters. It can be embedded into some resource-bounded mobile platforms, such as DSP 6678, without any hardware-specified optimized runtime libraries. Compared with the SOTA lightweight detectors, the proposed method achieves better accuracy with less computation",AP with HRSC2016 stays after RoI Transformer and Oriented RCNN,not provided,TRUE
95,2022,3,Yu et al,NA,Anchor Free Arbitrary Oriented Object Detector Using Box Boundary Aware Vectors,IEEE JSTAEORS,research,anchor free,CenterNet,Res2Net50,Multi-scale Feature Extraction+CBA + Adaptively Spatial Feature Fusion(ASFF),+ Context Enhancement Module(CEM) + Convolution-Activation-Convolution(CAC),416×416/512×512/608×608/800×800/1024×1024,HRSC2016/UCAS-AOD/DOTA-v1.0,NA,NA,RGB,HRSC2016300×300-1500×900;UCAS-AOD:1280×659;DOTA:800×800 to 4000×4000,"Random flipping, Random cropping",Intel Xeon Silver 4210 CPU + 2× NVIDIA RTX 3090 GPUs 24 GB,Multiscale capability and good small-object performance. 90.30% mAP on HRSC2016; 89.70% mAP on UCAS-AOD; 77.18% mAP on DOTA,NA,not provided,FALSE
96,2021,12,Yang et al,CPSDet,An Anchor Free Based Rotation Detector for Ship Detection,Remote Sensing,research,anchor free,NA,ResNext50,NAS-FCOS-FPN (NAS-searched Feature Pyramid Network),NA,800×800 ,HRSC2016,NA,NA,NA,300×300-1500×900,Random flips; Random rotations; Brightness changes; 10× data augmentation per epoch,Single NVIDIA GeForce RTX 2080Ti,"AP = 0.8912 on HRSC2016. Angle prediction more accurate. Centerness calculation optimized to make the weight distribution of each feature point more reasonable, and the angle information is introduced to make it fit with the predicted category and position. A Cascaded Positive sample Screening (CPS) scheme is proposed, which greatly improves the accuracy of anchor-free based detector.","In small target detection, the performance of the detector is reduced; angle prediction still unstable near boundaries; depends heavily on centerness modeling",not provided,FALSE
97,2021,4,Zhang et al,GRSDet,An Anchor Free Rotation Ship Detector Based on Gaussian Mask in RS Images,IEEE TGRS,research,anchor free,NA,ResNet-50 with SCM,NA,FCN-based pixel-wise regression/classification heads,800x800,HRSC2016/DOTAShip,HRSC2016:0.4,HRSC2016:2.0,RGB,HRSC:300x300–1500x900;DOTA:800x800–4000x4000,Resizing; Random horizontal flipping; Random crop; Random scale,NVIDIA GeForce GTX 1080Ti with 12-GB GPU,"Takes into account the dense distribution of ships, GRS-Det transforms ship detection into a binary semantic segmentation task based on the FCN structure. Alleviates the channel unbalance problem. For the mislabeling problem in rotation bounding boxes, a rotation Gaussian-Mask is designed to model ship based on its geometry characteristics. Benefited from it, more context information is utilized to strengthen the detection performance. Method achieves SOTA performance on the challenging RS ship detection data sets HRSC2016 and DOTA Ship.HRSC2016 AP=0.8957; DOTA Ship AP=0.8477",Pixel-level NMS increases inference time in dense scenes,not provided,FALSE
98,2021,2,Cui et al,SKNet,Detecting Rotated Ships as Keypoints in Optical RS Images,IEEE TGRS,research,anchor free,Keypoint,Hourglass-104,Orthogonal Pooling,Keypoint center + width/height/angle regression heads,511x511,HRSC2016/DOTAShip/HPDM-OSOD,NA,NA,NA,HRSC:1000x1000;DOTA:4000x4000;HPDM-OSOD:1000x2000(vries),Random mirroring; Random proportional scaling; Random cropping; Resizing,NA,"Custom dataset with higher small ships instances. orthogonal pooling can not only promote the prediction of keypoints but also improve the accuracy of the estimation of morphological sizes. Improves the features that are meaningful for predicting single or multiple
targets. Overall, the proposed orthogonal pooling module strengthens the response of feature maps at specific locations and improves the objects’ responses at the center by transmitting the maximum global value of the rotated object into the orthogonal direction. HRSC2016 AP=90.4%; DOTA-Ship AP=83.9%; HPDM-OSOD AP=84.6%",NA,not provided,TRUE
99,2021,1,Zhang et al,CHPDet,Arbitrary Oriented Ship Detection Through Center Head Point Extraction,IEEE TGRS,research,anchor free,Centerpoint,DLA34;Hourglass104,NA,Center heatmap + size regression + head point regression,512x512,FGSD2021/HRSC2016/UCAS-AOD,NA,NA,NA,NA,Cropping; Resizing,Intel Core i7-8700K CPU NVIDIA RTX 2080Ti GPU,"Method can expand the scope of angle to [0-360), and distinguish between bow and stern. Custom dataset. mAP = 87.91% (FGSD2021); high accuracy; anchor-free; NMS-free; good small-object performance. Frequently cited on the literature",Long training time; requires precise head-direction annotation; limited generalization to datasets without head labels,https://github.com/zf020114/CHPDet,TRUE
100,2025,7,Liang et al,EPFNet,Lightweight Feature Fusion for Small Ship Detection in RS Imagery,Digital Signal Processing,research,transformers,DETR,ResNet18 (modified with EPFE),Multi-scale Sequential Information Fusion MSIF + PAN-like bidirectional fusion,Four detection heads (P2–P5),640x640x3,MASATI/(custom),NA,NA,RGB,MASATI: 512x512; Small Ship: 640x640,Resizing; Normalization,NVIDIA RTX 3090,"Model trained with dataset specific customized for small ships under various environmental challenges (including clouds, fog, darkness, waves, islands, and reef interference). The average object size in the AITOD dataset is approximately 12.8×12.8 pixel, which is notably smaller compared to other datasets. Additionally, the DOTA dataset also contains some small ship objects. Achieves significant performance to identify and detect small ship objects in scenes with limited object features and complex environmental interference; MASATI AP=80.5%; Small Ship AP=74.7%; Lightweight (10.89M params, 45.6 GFLOPs)",NA,not provided,TRUE
101,2025,7,Hu et al,MHOEDETR,A Ship Detection Method for Small and Fuzzy Targets Based on Satellite RS Image Data,IEEE JSTAEORS,research,transformers,DETR,MH-Net,NA,DINO,640x640,(private),NA,NA,NA,NA,NA,Intel(R) Xeon(R) Silver 4310 CPU at 2.10 GHz GPU GeForce RTX 3090,"Alleviate the catastrophic forgetting and information bottleneck problems. Average accuracy, recall, and AP50 reached 96.3%, 91.4%, and 95.4%, respectively,SSDD mAP=92.11%; HRSC2016 mAP=90.32%; Designed for detecting small & fuzzy ships",Private dataset used,not provided,TRUE
102,2025,4,Wang Li,ShipDETR,A Transformer Based Model for Efficient Ship Detection in Complex Maritime Environments,IEEE ACCESS,research,transformers,DETR,CSPResNet (RT-DETR backbone),BiFPN + S2 feature fusion,RT-DETR transformer decoder with HiLo attention and HWD downsampling,640x640,NA,NA,NA,NA,NA,Resizing,Intel i7-12650H NVIDIA GeForce RTX 3090,"mAP=75.7% (LEVIR-Ship); mAP=73.1% (HRSC2016-MS); improved precision and small-ship detection; The HiLo attention optimizes the feature expression process by separating high-frequency and low-frequency features. This separation and fusion of features not only enhances
the model’s ability to detect ship detail texture features but also strengthens its robustness in complex backgrounds, enabling the model to better distinguish subtle differences between ships and the background. Demonstrates superior detection accuracy while maintaining a relatively small number of parameters and computational load",NA,not provided,TRUE
103,2025,7,Nguyen,HARDet,Hybrid Anchor Rotation Detector for OOD,ICCV CVF,research,hybrid,NA,ResNet50+FPN;ResNext101-FPN-DCNv2 (both pretrained on ImageNet),FPN,Hybrid RPN (Anchor-free + Anchor-based refinement with Orientation-Aware Convolution) + R-CNN rotated bbox heads (Rotated RoIAlign),NA,DOTA-v1.0/DIOR-R/HRSC2016,NA,NA,NA,DOTA: 4000x4000 crops → 1024x1024; DIOR-R: 800x800; HRSC: 300x300–1500x900 (resized to 800x512 for training),Random flip; Cropping; Standard augmentation used in benchmarks,Single NVIDIA A5000 GPU,"Rigorous and wide comparison with SOTA methods for all model classes. Competitive oriented detection: DOTA mAP=75.41 (ResNet50), 76.02 (ResNet101), 77.01 (ResNeXt101-DCNv2); DIOR-R mAP=65.3 highest accuracy; HRSC2016 mAP=90.20 and 95.32 mAP on the VOC2007 and VOC2012 metrics, respectively. Computational efficiency, achieved via a reduced anchor set and lightweight orientation-aware refinement, makes it deployable on edge devices such as drones or lowpower remote sensing platforms.",NA,https://github.com/PhucNDA/HA-RDet,FALSE
104,2025,8,Wang Wang,CNN/Transformer/CTS,A Unified DL Approach for Ship Detection in Complex Maritime Environments,IAENG,research,other,CNN/Transformer,VGG19 (CNN branch) + Transformer-encoder,NA,NA,256x192,HRSC2016,NA,NA,NA,NA,H/V flips; Random affine (translation/rotation/scaling); Conversion of colored instance masks to grayscale,Ubuntu 18.04 RTX 3060 GPU CUDA 11.4,Pixel Accuracy = 95.26%; Dice Ratio = 0.6725; IoU = 0.5652 after 200 epochs,"Although the algorithm performs well, there is still potential for enhancement due to the intricate ship backgrounds, a wide range of classes and angles, as well as difficulties in accurately detecting ships located near shores or on land. Future research will focus on
developing more precise detection methods, incorporating advanced data augmentation, multi-scale feature fusion, and optimized real-time processing to handle diverse maritime environments.",not provided,FALSE
105,2025,5,Lee Youn,VPL,In Context Vision Pattern Language Model for Enhancing Vessel Activity Explanation AIS,IEEE Access,research,other,CLIP,CLIP ViT-based encoder + Transformer encoders,NA,CLIP-based zero-shot classifier + RAG-based explanation generator,NA,CAS500-1/GFW/AIH-Fishing,0.5 m (CAS500-1 PAN),2.0 m (CAS500-1 MS),NA,Satellite ROI: 10000x10000; Generated pattern images: 224x224,NA,NVIDIA RTX 3060 CUDA 11.4,"Designed to enhance the explanation and detection of illegal, unreported, and unregulated (IUU) vessel activities. The strengths of the proposed VPL model include its robust integration of satellite imagery with Automatic Identification System (AIS)","Not designed for bounding-box ship detection (focuses on trajectory pattern classification and explanation); evaluation primarily used predefined datasets, raising questions about its robustness in real-world environment. Furthermore, the significant computational
resources required for its fusion and classification algorithms present practical hurdles for real-time deployment",not provided,FALSE
106,2025,2,Han et al,NA,A comprehensive framework incorporating DL for analyzing fishing vessel activity using AIS data,ICESJMarSci,research,other,Transformer/AIS,Transformer Encoder (custom: learnable positional encoding + batch norm),NA,MLP classifier (3 vessel-type classes); Temporal K-Means for fishing-activity detection,NA,HeywhaleAIS,NA,NA,"AIS (non-image) + environmental data (CMEMS, GEBCO, NASA OceanColor)",NA,NA,NA,Designed for fishing vessels behavior combined with environmental analysis,"Only three types of vessels (trawler, seiner, gillnetter). Not a ship detector for satellite imagery",https://github.com/HFC666/AIS_TS,FALSE
107,2024,12,Azdavay et al,CompFasterRCNN/YOLOv7,Optimizing Accuracy and Efficiency in Ship Detection from Satellite Images through a Comparative Analysis of OD Models,SETSCI,research,other,FasterRCNN/YOLOv7,NA,NA,NA,NA,(custom),NA,NA,NA,NA,NA,NA,"Both algorithms are tested under challenging conditions, including poor image quality due to cloud and dust obscuration, varying lighting, and high-altitude captures. Faster R-CNN: Higher accuracy – coastal accuracy 0.805, recall 0.758, mAP50 0.623, mAP75 0.479, F1=0.781; YOLOv7: Faster inference – 34.49 FPS (avg) vs. Faster R-CNN 22.81 FPS","Faster R-CNN: Slow inference – 53.4 s per image in study; YOLOv7: Lower accuracy – weighted mAP50 0.551, mAP75 0.425; misses small and partially obscured ships",open source,TRUE
108,2024,10,Zhang et al,Popeye,A Unified Visual Language Model for Multisource Ship Detection From RS Imagery,IEEE JSTAEORS,research,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not provided,FALSE
109,2024,9,Y C,SNN,Utilizing Elephant Herd Inspired Spiking Neural Networks for Enhanced Ship Detection and Classification in Marine Scene Matching,MarineGeodesy,research,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not provided,FALSE
110,2024,9,Do et al,UReACH,Model for Ship Detection over Satellite Imagery,IEEE MAPR,research,other,UNet/ResNet,ResNet50;ResNet18;ResNet34,NA,NA,NA,KaggleAirbusShip,NA,NA,NA,768x768,Scaling; Shifting; Rotation; Flipping; Gaussian noise,NA,"Achieves: Dice=76.36%, IoU=66.07%, Recall=95.03%, Precision=91.00%, F1=93.02%, F2=94.2. Outperforms Mask R CNN (up to +8% F2).","Struggles with very small ships and scenes containing many ships. The model can not distinguish significantly whether it is a ship or other objects such as constructions around ships. The second image is another problem, which shows us there are a lot of small boats. It takes some difficulties for the models to indicate",not provided,FALSE
111,2024,8,Hong et al,SpectralGPT,Spectral RS Foundation Model,IEEE TPAMI,research,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not provided,FALSE
